"filename", "language", "TypeScript", "JSON", "YAML", "Handlebars", "Markdown", "SCSS", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\mgall\Documents\Projects\ivex\.github\workflows\node.js.yml", "YAML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 3, 30
"c:\Users\mgall\Documents\Projects\ivex\client\.eslintrc.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\mgall\Documents\Projects\ivex\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\mgall\Documents\Projects\ivex\client\package.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\mgall\Documents\Projects\ivex\client\public\css\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 375, 5, 406
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\mark-d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\mark-l.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\menu-d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\prev.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\zoom-in-d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\zoom-in-l.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\zoom-out-d.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\mgall\Documents\Projects\ivex\client\public\icons\zoom-out-l.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\burger.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\euro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\hand_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\price_wave.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\star_full.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\vlajka.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\wave-down-gray.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\wave-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\img\wave-up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\mgall\Documents\Projects\ivex\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 21, 3, 60
"c:\Users\mgall\Documents\Projects\ivex\client\public\js\AnnotatorExtra.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 4, 39
"c:\Users\mgall\Documents\Projects\ivex\client\public\js\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 7, 5, 48
"c:\Users\mgall\Documents\Projects\ivex\client\public\lib\jquery-1.8.2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6518, 0, 0, 0, 1430, 1493, 9441
"c:\Users\mgall\Documents\Projects\ivex\client\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\mgall\Documents\Projects\ivex\client\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1378, 0, 0, 0, 39, 65, 1482
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ChangePassword\ChangePassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 6, 6, 126
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ChangePassword\_changePassword.scss", "SCSS", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 20, 95
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FooterComps\GDPR\GDPR.js", "JavaScript", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 15, 107
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FooterComps\GDPR\GdprSectionI\GdprSectionI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FooterComps\GDPR\GdprSectionI\_gdprSectionI.scss", "SCSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FooterComps\GDPR\_gdpr.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ForgottenPassword\ForgottenPassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 3, 6, 95
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\ForgottenPassword\_forgottenPassword.scss", "SCSS", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 21, 95
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\FrontPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 6, 31
"c:\Users\mgall\Documents\Projects\ivex\client\src\Components\FrontPage\Membership\Membership.js", "JavaScript", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 8, 105
